index,name,address,sido,gungu
114,광혜원점,충청북도 진천군 광혜원면 화랑5길 8,충청북도,충청북도
115,괴산점,"충청북도 괴산군 괴산읍 읍내로11번길, 8-5",충청북도,충청북도
116,괴안1점,"경기도 부천시소사구 부광로8번길 39,104(괴안동)",경기도,경기도
117,괴정1점,대전광역시 서구 괴정동 130-3,대전광역시,대전광역시
118,교대역점,서울특별시 서초구 서초동 1640-1 1층,서울특별시,서울특별시
119,교하점,경기도 파주시 숲속노을로 298,경기도,경기도
120,구곡현대점,강원도 원주시 남원로 492-14(단구동1576-3),강원도,강원도
121,구례점,전라남도 구례군 구례읍 중앙로 35,전라남도,전라남도
122,구로2동점,서울특별시 구로구 구로2동 726-32,서울특별시,서울특별시
123,구리남점,경기도 구리시 안골로20번길 28,경기도,경기도
124,구리중앙점,경기도 구리시 교문동 체육관로171번길 11-6,경기도,경기도
125,구미 송정점,경상북도 구미시 송정동 465-1,경상북도,경상북도
126,구반월점,경기도 안산시상록구 건건동 632-4 1층,경기도,경기도
127,구산점,경상남도 김해시 구산로 32-1,경상남도,경상남도
128,구성마북점,경기도 용인시기흥구 연원로 5(마북동),경기도,경기도
129,구암점,전라북도 군산시 서당길 19(구암동),전라북도,전라북도
130,구운점,경기도 수원시권선구 구운동 496-2,경기도,경기도
131,구월1동점,인천광역시 남동구 구월동 1217-2 103호,인천광역시,인천광역시
132,구의동점,서울특별시 광진구 자양로 322 (구의동),서울특별시,서울특별시
133,군남점,경기도 연천군 군남면 군남로 115,경기도,경기도
134,군산금호점,전라북도 군산시 나운동 489 금호타운상가 108,전라북도,전라북도
135,군위점,경상북도 군위군 군위읍 서부리 57-1,경상북도,경상북도
136,군자11점,경기도 안산시단원구 선부동 1078-4 가동상가 110,경기도,경기도
137,군포당동점,"경기도 군포시 군포로510번길 25(당동, 당동누리에뜰해밀제1층118호)",경기도,경기도
138,궁동점(대전),대전광역시 유성구 궁동 404-7,대전광역시,대전광역시
139,궁동점(서울),"서울특별시 구로구 부일로15길 4, 1층 103호(궁동)",서울특별시,서울특별시
140,권선점,경기도 수원시권선구 권선동 1056-8,경기도,경기도
141,근화점,전라남도 목포시 연산동 산정로 268-3,전라남도,전라남도
142,금곡점,경기도 남양주시 금곡로 49,경기도,경기도
143,금산2점,충청남도 금산군 금산읍 중도리 391-4,충청남도,충청남도
144,금암점,전라북도 전주시덕진구 조경단로 45 2층 철골조스라브중하점포 1,전라북도,전라북도
145,금오점,경기도 의정부시 금신로 398,경기도,경기도
146,금왕점,충청북도 음성군 금왕읍 탑골길 20,충청북도,충청북도
147,금장점,경상북도 경주시 현곡면 금장리 410 삼성APT상가 나동 103,경상북도,경상북도
148,금촌주공점,경기도 파주시 가나무로 103,경기도,경기도
149,금호동점(광주),광주광역시 서구 금호동 815 호반리젠시빌 상가,광주광역시,광주광역시
150,금호로타리점,서울특별시 성동구 무수막길 89-2,서울특별시,서울특별시
151,금호역점,서울특별시 성동구 금호동3가 1394-3,서울특별시,서울특별시
152,기계점,경상북도 포항시북구 기계면 현내리 407-3번지,경상북도,경상북도
153,기아점,경기도 광명시 소하동 1236-7,경기도,경기도
154,기업도시점,충청북도 충주시 중앙탑면 원앙9길 15 ,충청북도,충청북도
155,기장점,부산광역시 기장군 기장읍 대라리 129-1,부산광역시,부산광역시
156,기지시점,충청남도 당진군 송악읍 기지시리 161-1,충청남도,충청남도
157,길동2점,서울특별시 강동구 천중로49길 29(길동),서울특별시,서울특별시
158,길동3점,"서울특별시 강동구 천호대로185길 89(길동, 1층)",서울특별시,서울특별시
159,길음점,서울특별시 성북구 길음로 74 길음뉴타운5단지 2-105,서울특별시,서울특별시
160,김해내동점,경상남도 김해시 평전로 154(내동),경상남도,경상남도
161,김해중앙점,경상남도 김해시 부원동 603-7,경상남도,경상남도
162,까치산점,서울특별시 강서구 화곡8동 342-7 1층 102,서울특별시,서울특별시
163,꼬꼬점,경상북도 포항시북구 칠성천길 98,경상북도,경상북도
164,꿈.연화점,경기도 부천시원미구 옥산로 86,경기도,경기도
165,낙성대1점,서울특별시 관악구 봉천11동 1642-7,서울특별시,서울특별시
166,난곡점,서울특별시 관악구 문성로16가길 43,서울특별시,서울특별시
167,남목점,울산광역시 동구 동해안로 40-2(동부동),울산광역시,울산광역시
168,남부점,강원도 원주시 남원로 617-2(명륜동),강원도,강원도
169,남양점,경기도 화성시 남양면 남양리 1267-11,경기도,경기도
170,남양점(구성주점),경상남도 창원시성산구 가음로 13번길15,경상남도,경상남도
